input_len,n_hidden,network,learning_rate,epochs,sigma,noise_type,mse_error
10,5,cnn,0.001,500,0,iid,5.4815678469675245e-08
10,5,cnn,0.001,500,0,wiener,1.1901329931194897e-07
10,5,cnn,0.001,500,0.01,iid,0.00015193154287078474
10,5,cnn,0.001,500,0.01,wiener,0.0008161157939138467
10,5,cnn,0.001,500,0.1,iid,0.013164465177936836
10,5,cnn,0.001,500,0.1,wiener,0.37691416140997086
10,5,cnn,0.01,10,0,iid,0.0002596578649593874
10,5,cnn,0.01,10,0,wiener,0.0003217868609443299
10,5,cnn,0.01,10,0.01,iid,0.000992617276260054
10,5,cnn,0.01,10,0.01,wiener,0.0008210919446766268
10,5,cnn,0.01,10,0.1,iid,0.014303643661978251
10,5,cnn,0.01,10,0.1,wiener,0.012177931315567126
10,5,cnn,0.01,100,0,iid,3.152113366924178e-05
10,5,cnn,0.01,100,0,wiener,1.2071331668543555e-05
10,5,cnn,0.01,100,0.01,iid,0.00030744910390887494
10,5,cnn,0.01,100,0.01,wiener,0.0001499520367521706
10,5,cnn,0.01,100,0.1,iid,0.012442560473744039
10,5,cnn,0.01,100,0.1,wiener,0.01199308983169789
10,5,cnn,0.01,500,0,iid,1.7061452326265864e-05
10,5,cnn,0.01,500,0,wiener,9.936835918888968e-08
10,5,cnn,0.01,500,0.01,iid,0.0001970412884786679
10,5,cnn,0.01,500,0.01,wiener,0.00011040901151827949
10,5,cnn,0.01,500,0.1,iid,0.014281718321454783
10,5,cnn,0.01,500,0.1,wiener,0.6599911007866761
10,5,cnn,0.1,10,0,iid,0.0006525128653112865
10,5,cnn,0.1,10,0,wiener,0.0003704255708624988
10,5,cnn,0.1,10,0.01,iid,0.00041217487840785146
10,5,cnn,0.1,10,0.01,wiener,0.002798877675278025
10,5,cnn,0.1,10,0.1,iid,0.015568399617330699
10,5,cnn,0.1,10,0.1,wiener,0.010850171803136499
10,5,cnn,0.1,100,0,iid,0.0005560455339503563
10,5,cnn,0.1,100,0,wiener,0.5108447821324249
10,5,cnn,0.1,100,0.01,iid,0.00030432226984681166
10,5,cnn,0.1,100,0.01,wiener,0.42677267850011313
10,5,cnn,0.1,100,0.1,iid,0.01268554610617091
10,5,cnn,0.1,100,0.1,wiener,3792.246347370533
10,5,cnn,0.1,500,0,iid,0.5105442960079553
10,5,cnn,0.1,500,0,wiener,0.5049469932951025
10,5,cnn,0.1,500,0.01,iid,0.000755384331506602
10,5,cnn,0.1,500,0.01,wiener,1.8226114295051572
10,5,cnn,0.1,500,0.1,iid,0.03497988412477066
10,5,cnn,0.1,500,0.1,wiener,0.011248883259941082
10,10,mlp,0.001,10,0,iid,0.003991646622899654
10,10,mlp,0.001,10,0,wiener,0.0007411766188984931
10,10,mlp,0.001,10,0.01,iid,0.0037619064235001835
10,10,mlp,0.001,10,0.01,wiener,0.007829114695226255
10,10,mlp,0.001,10,0.1,iid,0.018982606791368026
10,10,mlp,0.001,10,0.1,wiener,0.04581556345049487
10,10,mlp,0.001,100,0,iid,1.5007167624848945e-06
10,10,mlp,0.001,100,0,wiener,9.026608611183628e-06
10,10,mlp,0.001,100,0.01,iid,0.0004159846765985853
10,10,mlp,0.001,100,0.01,wiener,0.00028351596730821906
10,10,mlp,0.001,100,0.1,iid,0.012431826707396598
10,10,mlp,0.001,100,0.1,wiener,0.0388372656477331
10,10,mlp,0.001,500,0,iid,2.3603402990545924e-08
10,10,mlp,0.001,500,0,wiener,7.814854053255874e-07
10,10,mlp,0.001,500,0.01,iid,0.0001908866176078639
10,10,mlp,0.001,500,0.01,wiener,0.0001642173496512838
10,10,mlp,0.001,500,0.1,iid,0.012394314814304022
10,10,mlp,0.001,500,0.1,wiener,0.010157107561447061
10,10,mlp,0.01,10,0,iid,0.001409307420445588
10,10,mlp,0.01,10,0,wiener,0.0012166628152141844
10,10,mlp,0.01,10,0.01,iid,0.0004807151936495298
10,10,mlp,0.01,10,0.01,wiener,0.00030327539580555965
10,10,mlp,0.01,10,0.1,iid,0.012276881307048657
10,10,mlp,0.01,10,0.1,wiener,0.02821085453896987
10,10,mlp,0.01,100,0,iid,1.1504286206829388e-06
10,10,mlp,0.01,100,0,wiener,7.897889103304314e-08
10,10,mlp,0.01,100,0.01,iid,0.00023277167910949062
10,10,mlp,0.01,100,0.01,wiener,0.0002501932802357032
10,10,mlp,0.01,100,0.1,iid,0.011781154394426797
10,10,mlp,0.01,100,0.1,wiener,0.011050832071060768
10,10,mlp,0.01,500,0,iid,5.888961533672735e-06
10,10,mlp,0.01,500,0,wiener,0.00026536576887018214
10,10,mlp,0.01,500,0.01,iid,0.00016374625217885683
10,10,mlp,0.01,500,0.01,wiener,0.00013019150367172546
10,10,mlp,0.01,500,0.1,iid,0.011974027903820923
10,10,mlp,0.01,500,0.1,wiener,0.01035874873165218
10,10,mlp,0.1,10,0,iid,0.0027876802379968235
10,10,mlp,0.1,10,0,wiener,0.00024849929735985474
10,10,mlp,0.1,10,0.01,iid,0.0005273333010964314
10,10,mlp,0.1,10,0.01,wiener,0.0020472013910968205
10,10,mlp,0.1,10,0.1,iid,0.014894625964808257
10,10,mlp,0.1,10,0.1,wiener,0.026292829945622175
10,10,mlp,0.1,100,0,iid,2.32200815319199e-08
10,10,mlp,0.1,100,0,wiener,1.5155156585804085e-05
10,10,mlp,0.1,100,0.01,iid,0.00025286702709320863
10,10,mlp,0.1,100,0.01,wiener,0.0003591408268648376
10,10,mlp,0.1,100,0.1,iid,0.010958863321396282
10,10,mlp,0.1,100,0.1,wiener,0.01351563787977497
10,10,mlp,0.1,500,0,iid,8.61160363408491e-10
10,10,mlp,0.1,500,0,wiener,2.6890257833548924e-08
10,10,mlp,0.1,500,0.01,iid,0.00024327553250503938
10,10,mlp,0.1,500,0.01,wiener,0.15806195893523725
10,10,mlp,0.1,500,0.1,iid,0.015966929700358505
10,10,mlp,0.1,500,0.1,wiener,0.01532561322832641
10,10,lstm,0.001,10,0,iid,0.002522655557618734
